ds,escenario_neutro,escenario_positivo,escenario_negativo
2010-01-04,1.4031695860660498,1.4733280653693523,1.3330111067627473
2010-01-05,1.4023200892046694,1.472436093664903,1.3322040847444359
2010-01-06,1.4018953482812202,1.4719901156952813,1.3318005808671591
2010-01-07,1.401218108964059,1.471279014412262,1.3311572035158559
2010-01-08,1.4007241877728633,1.4707603971615066,1.33068797838422
2010-01-11,1.3988677898023487,1.4688111792924663,1.3289244003122311
2010-01-12,1.398168911754608,1.4680773573423382,1.3282604661668775
2010-01-13,1.3978802574821085,1.467774270356214,1.327986244608003
2010-01-14,1.3973228867875889,1.4671890311269684,1.3274567424482093
2010-01-15,1.396931261523076,1.4667778245992298,1.3270846984469222
2010-01-19,1.3945934324172076,1.464323104038068,1.3248637607963472
2010-01-20,1.3943097294534355,1.4640252159261073,1.3245942429807636
2010-01-21,1.393737835538319,1.463424727315235,1.324050943761403
2010-01-22,1.3933127234566167,1.4629783596294477,1.3236470872837858
2010-01-25,1.3914422380974092,1.4610143500022796,1.3218701261925387
2010-01-26,1.3906668308043475,1.460200172344565,1.32113348926413
2010-01-27,1.3902674732347233,1.4597808468964595,1.3207540995729872
2010-01-28,1.3895667300164545,1.4590450665172772,1.3200883935156318
2010-01-29,1.3890008220832193,1.4584508631873803,1.3195507809790583
2010-02-01,1.3866495878167824,1.4559820672076216,1.3173171084259432
2010-02-02,1.3856991935119518,1.4549841531875494,1.3164142338363543
2010-02-03,1.3851199852409302,1.4543759845029767,1.3158639859788837
2010-02-04,1.384236126163005,1.4534479324711553,1.3150243198548546
2010-02-05,1.3834855038957476,1.4526597790905351,1.3143112287009602
2010-02-08,1.3805882316658442,1.4496176432491366,1.3115588200825519
2010-02-09,1.379464741828721,1.4484379789201571,1.3104915047372847
2010-02-10,1.3787201312916184,1.4476561378561994,1.3097841247270374
2010-02-11,1.3776805486378012,1.4465645760696912,1.3087965212059112
2010-02-12,1.3767858665103474,1.445625159835865,1.3079465731848299
2010-02-16,1.3723435044633814,1.4409606796865506,1.3037263292402121
2010-02-17,1.371540728206997,1.4401177646173469,1.302963691796647
2010-02-18,1.3704647100018434,1.4389879455019357,1.3019414745017512
2010-02-19,1.369556328092928,1.4380341444975744,1.3010785116882815
2010-02-22,1.3664167413006731,1.4347375783657068,1.2980959042356395
2010-02-23,1.3652954052524064,1.433560175515027,1.297030634989786
2010-02-24,1.3645960314612862,1.4328258330343506,1.2963662298882217
2010-02-25,1.363644814927003,1.4318270556733532,1.295462574180653
2010-02-26,1.3628809962748636,1.431025046088607,1.2947369464611203
2010-03-01,1.3602713416360757,1.4282849087178795,1.2922577745542718
2010-03-02,1.3593495106142481,1.4273169861449606,1.2913820350835357
2010-03-03,1.3588557267408603,1.4267985130779033,1.2909129404038173
2010-03-04,1.3581126561017645,1.4260182889068527,1.2902070232966762
2010-03-05,1.3575558923564466,1.425433686974269,1.2896780977386242
2010-03-08,1.3555242909334728,1.4233005054801464,1.2877480763867992
2010-03-09,1.3547691463591713,1.42250760367713,1.2870306890412126
2010-03-10,1.3544238179152779,1.4221450088110419,1.2867026270195139
2010-03-11,1.3538083567213792,1.4214987745574483,1.2861179388853101
2010-03-12,1.353356198523007,1.4210240084491574,1.2856883885968564
2010-03-15,1.351486980179329,1.4190613291882954,1.2839126311703626
2010-03-16,1.3507340655791151,1.418270768858071,1.2831973623001593
2010-03-17,1.3503659313790872,1.4178842279480417,1.2828476348101328
2010-03-18,1.3497041650274832,1.4171893732788574,1.282218956776109
2010-03-19,1.3491843758161128,1.4166435946069185,1.2817251570253072
2010-03-22,1.3470146749980838,1.414365408747988,1.2796639412481796
2010-03-23,1.3461416057182625,1.4134486860041757,1.2788345254323492
2010-03-24,1.3456504940101872,1.4129330187106965,1.2783679693096779
2010-03-25,1.3448675594263033,1.4121109373976186,1.277624181454988
2010-03-26,1.3442330994970897,1.4114447544719442,1.2770214445222352
2010-03-29,1.3418034693290686,1.408893642795522,1.274713295862615
2010-03-30,1.3408853407029322,1.407929607738079,1.2738410736677854
2010-03-31,1.3403755773601929,1.4073943562282025,1.2733567984921832
2010-04-01,1.3396028384083005,1.4065829803287155,1.2726226964878855
2010-04-05,1.3368890204683526,1.4037334714917702,1.270044569444935
2010-04-06,1.3361333797817756,1.4029400487708645,1.2693267107926867
2010-04-07,1.335811880404514,1.4026024744247398,1.2690212863842882
2010-04-08,1.335249511875968,1.4020119874697665,1.2684870362821694
2010-04-09,1.3348837643356632,1.4016279525524464,1.26813957611888
2010-04-12,1.333497845825236,1.400172738116498,1.2668229535339741
2010-04-13,1.3329824864423834,1.3996316107645026,1.2663333621202641
2010-04-14,1.3328875915059166,1.3995319710812124,1.2662432119306208
2010-04-15,1.3325310855437495,1.399157639820937,1.265904531266562
2010-04-16,1.3323435010549676,1.398960676107716,1.2657263260022191
2010-04-19,1.3312615283268827,1.397824604743227,1.2646984519105384
2010-04-20,1.3307521018588993,1.3972897069518442,1.2642144967659543
2010-04-21,1.3306081810350927,1.3971385900868474,1.264077771983338
2010-04-22,1.3301448150266433,1.3966520557779756,1.263637574275311
2010-04-23,1.3297908059038797,1.3962803461990736,1.2633012656086857
2010-04-26,1.3278535296063407,1.3942462060866578,1.2614608531260236
2010-04-27,1.3269472393247457,1.393294601290983,1.2605998773585083
2010-04-28,1.3263572455194712,1.392675107795445,1.2600393832434975
2010-04-29,1.3254044372438345,1.3916746591060263,1.2591342153816427
2010-04-30,1.324524564639493,1.3907507928714677,1.2582983364075182
2010-05-03,1.3208745882587571,1.386918317671695,1.2548308588458192
2010-05-04,1.319383702060031,1.3853528871630325,1.2534145169570294
2010-05-05,1.3182190588531548,1.3841300117958126,1.252308105910497
2010-05-06,1.3167118743615485,1.382547468079626,1.250876280643471
2010-05-07,1.3153080939448147,1.3810734986420556,1.2495426892475738
2010-05-10,1.3103646902556798,1.3758829247684639,1.2448464557428958
2010-05-11,1.3085636666101381,1.3739918499406452,1.243135483279631
2010-05-12,1.3071610575016797,1.3725191103767638,1.2418030046265955
2010-05-13,1.305493267784729,1.3707679311739656,1.2402186043954926
2010-05-14,1.3040100397180763,1.3692105417039802,1.2388095377321724
2010-05-17,1.2993305546413545,1.3642970823734222,1.2343640269092868
2010-05-18,1.2977821843388149,1.3626712935557557,1.232893075121874
2010-05-19,1.296709282851483,1.3615447469940571,1.2318738187089089
2010-05-20,1.295442830793933,1.3602149723336296,1.2306706892542363
2010-05-21,1.294425768914684,1.3591470573604183,1.2297044804689499
2010-05-24,1.291447965400814,1.3560203636708548,1.2268755671307732
2010-05-25,1.2905345540274575,1.3550612817288306,1.2260078263260845
2010-05-26,1.2901121338818449,1.3546177405759372,1.2256065271877525
2010-05-27,1.289500124804405,1.3539751310446253,1.2250251185641845
2010-05-28,1.2891298541357412,1.3535863468425284,1.224673361428954
2010-06-01,1.2875278508568544,1.3519042433996973,1.2231514583140115
2010-06-02,1.2875535869115204,1.3519312662570966,1.2231759075659443
2010-06-03,1.2873235646575456,1.3516897428904229,1.2229573864246683
2010-06-04,1.287262982479674,1.3516261316036577,1.2228998333556902
2010-06-07,1.2865231025175141,1.35084925764339,1.2221969473916383
2010-06-08,1.2861050287408973,1.3504102801779423,1.2217997773038523
2010-06-09,1.2860385587009275,1.350340486635974,1.221736630765881
2010-06-10,1.2856385850571572,1.3499205143100153,1.2213566558042992
2010-06-11,1.2853346282752864,1.3496013596890508,1.221067896861522
2010-06-14,1.283486225783889,1.3476605370730836,1.2193119144946944
2010-06-15,1.282598531730209,1.3467284583167196,1.2184686051436986
2010-06-16,1.2820274607862203,1.3461288338255315,1.2179260877469091
2010-06-17,1.2810977992077963,1.3451526891681862,1.2170429092474064
2010-06-18,1.280249249783953,1.3442617122731508,1.2162367872947553
2010-06-21,1.2767795825758081,1.3406185617045987,1.2129406034470176
2010-06-22,1.2753882986039369,1.3391577135341337,1.21161888367374
2010-06-23,1.274347090176993,1.3380644446858427,1.2106297356681435
2010-06-24,1.2729886492937068,1.3366380817583923,1.2093392168290213
2010-06-25,1.2717596477390865,1.3353476301260407,1.2081716653521322
2010-06-28,1.26749210268507,1.3308667078193237,1.2041174975508164
2010-06-29,1.2659613178186255,1.3292593837095568,1.2026632519276943
2010-06-30,1.2648467603659252,1.3280890983842215,1.201604422347629
2010-07-01,1.2634810358518713,1.326655087644465,1.2003069840592777
2010-07-02,1.2636596726666285,1.32684265629996,1.200476689033297
2010-07-06,1.2640768856381812,1.3272807299200904,1.200873041356272
2010-07-07,1.2646386911153369,1.3278706256711037,1.20140675655957
2010-07-08,1.2649862603122917,1.3282355733279063,1.201736947296677
2010-07-09,1.2655580602279832,1.3288359632393825,1.202280157216584
2010-07-12,1.2671597567685917,1.3305177446070213,1.203801768930162
2010-07-13,1.2677020339155491,1.3310871356113267,1.2043169322197715
2010-07-14,1.2686977445174705,1.3321326317433442,1.2052628572915969
2010-07-15,1.2694663677506022,1.3329396861381324,1.205993049363072
2010-07-16,1.2704402192534807,1.333962230216155,1.2069182082908065
2010-07-19,1.273081459381996,1.3367355323510957,1.2094273864128962
2010-07-20,1.2739006115863838,1.3375956421657031,1.2102055810070644
2010-07-21,1.2751331960252879,1.3388898558265523,1.2113765362240234
2010-07-22,1.276096753198562,1.3399015908584901,1.212291915538634
2010-07-23,1.2772224436179016,1.3410835657987967,1.2133613214370065
2010-07-26,1.2800603856302448,1.344063404911757,1.2160573663487326
2010-07-27,1.2808622558783183,1.3449053686722343,1.2168191430844022
2010-07-28,1.282039414920149,1.3461413856661566,1.2179374441741415
2010-07-29,1.2829121806987305,1.347057789733667,1.2187665716637939
2010-07-30,1.2839149293837924,1.348110675852982,1.2197191829146028
