Fecha,USD_EUR,DXY,Inflacion,Tasa_Fed
2022-02-23,1.13291335105896,96.19000244140625,284.525,0.08
2022-02-24,1.1305694580078125,97.13999938964844,284.525,0.08
2022-02-25,1.11906898021698,96.62000274658203,284.525,0.08
2022-02-28,1.118105411529541,96.70999908447266,284.525,0.08
2022-03-01,1.1215918064117432,97.41000366210938,287.467,0.2
2022-03-02,1.1132758855819702,97.38999938964844,287.467,0.2
2022-03-03,1.1112345457077026,97.79000091552734,287.467,0.2
2022-03-04,1.1066844463348389,98.6500015258789,287.467,0.2
2022-03-07,1.087453007698059,99.29000091552734,287.467,0.2
2022-03-08,1.0865312814712524,99.05999755859375,287.467,0.2
2022-03-09,1.0898232460021973,97.97000122070312,287.467,0.2
2022-03-10,1.107382893562317,98.51000213623047,287.467,0.2
2022-03-11,1.1013944149017334,99.12000274658203,287.467,0.2
2022-03-14,1.093206763267517,99.05999755859375,287.467,0.2
2022-03-15,1.0943193435668945,99.06999969482422,287.467,0.2
2022-03-16,1.0969363451004028,98.37999725341797,287.467,0.2
2022-03-17,1.1021955013275146,98.01000213623047,287.467,0.2
2022-03-18,1.1099518537521362,98.2300033569336,287.467,0.2
2022-03-21,1.1043134927749634,98.5,287.467,0.2
2022-03-22,1.101722002029419,98.48999786376953,287.467,0.2
2022-03-23,1.1029735803604126,98.62000274658203,287.467,0.2
2022-03-24,1.1006306409835815,98.79000091552734,287.467,0.2
2022-03-25,1.1009578704833984,98.80999755859375,287.467,0.2
2022-03-28,1.098189115524292,99.08999633789062,287.467,0.2
2022-03-29,1.0993843078613281,98.4000015258789,287.467,0.2
2022-03-30,1.1091516017913818,97.79000091552734,287.467,0.2
2022-03-31,1.1161835193634033,98.30999755859375,287.467,0.2
2022-04-01,1.1072357892990112,98.62999725341797,288.582,0.33
2022-04-04,1.1047282218933105,98.98999786376953,288.582,0.33
2022-04-05,1.0975863933563232,99.47000122070312,288.582,0.33
2022-04-06,1.090643286705017,99.5999984741211,288.582,0.33
2022-04-07,1.0898232460021973,99.75,288.582,0.33
2022-04-08,1.0864840745925903,99.80000305175781,288.582,0.33
2022-04-11,1.0884946584701538,99.93000030517578,288.582,0.33
2022-04-12,1.0877959728240967,100.29000091552734,288.582,0.33
